sts,device_fk,latitude,longitude,time_stamp,speed
2021-10-23T12:30:51.077826+00:00,6888,19.739160537719727,76.18128204345703,2021-10-23T12:30:27+00:00,4
2021-10-23T12:30:51.077989+00:00,6888,19.739133834838867,76.18132019042969,2021-10-23T12:30:31+00:00,0
2021-10-23T12:30:51.080576+00:00,6888,19.73907470703125,76.18155670166016,2021-10-23T12:30:47+00:00,5
2021-10-23T12:30:51.087207+00:00,6888,19.73910140991211,76.18142700195312,2021-10-23T12:30:39+00:00,7
2021-10-23T12:30:51.089558+00:00,6888,19.73908424377441,76.1815414428711,2021-10-23T12:30:45+00:00,4
2021-10-23T12:30:52.577871+00:00,25029,27.885557174682617,76.26551818847656,2021-10-23T12:30:47+00:00,19
2021-10-23T12:30:52.579354+00:00,25029,27.88556289672852,76.2654037475586,2021-10-23T12:30:49+00:00,24
2021-10-23T12:30:52.581020+00:00,25029,27.885557174682617,76.265625,2021-10-23T12:30:45+00:00,17
2021-10-23T12:30:54.203825+00:00,20984,21.61501693725586,78.43660736083984,2021-10-23T12:30:50+00:00,0
2021-10-23T12:30:54.203912+00:00,20984,21.61501693725586,78.43660736083984,2021-10-23T12:30:45+00:00,0
2021-10-23T12:30:54.203999+00:00,20984,21.61501693725586,78.43660736083984,2021-10-23T12:30:48+00:00,0
2021-10-23T12:30:54.659294+00:00,6888,19.73921012878418,76.18133544921875,2021-10-23T12:30:17+00:00,4
2021-10-23T12:30:54.659455+00:00,6888,19.739059448242188,76.18159484863281,2021-10-23T12:30:51+00:00,4
2021-10-23T12:30:54.659788+00:00,6888,19.73920440673828,76.1812744140625,2021-10-23T12:30:23+00:00,0
2021-10-23T12:30:54.660138+00:00,6888,19.73916244506836,76.18144989013672,2021-10-23T12:30:07+00:00,6
2021-10-23T12:30:54.660292+00:00,6888,19.73917961120605,76.18140411376953,2021-10-23T12:30:11+00:00,4
2021-10-23T12:30:54.660441+00:00,6888,19.73921585083008,76.18131256103516,2021-10-23T12:30:19+00:00,5
2021-10-23T12:30:54.660753+00:00,6888,19.73920249938965,76.18135833740234,2021-10-23T12:30:15+00:00,4
2021-10-23T12:30:54.660908+00:00,6888,19.739168167114254,76.18142700195312,2021-10-23T12:30:09+00:00,5
